company_name,company_number,company_status,company_type,kind,links,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,country,region,address_line_2,year_of_cessation,year_of_creation
PROFI INVEST U.K. LTD,10312570,dissolved,ltd,search-results#company,{'company_profile': '/company/10312570'},2018-01-09,2016-08-04,"['46720', '64191', '66220', '68310']",,Southgate Office Village Chase Road 286c,London,N14 6HF,United Kingdom,,"2nd Floor, Block H",2018,2016
BARWOOD CONSULTING LIMITED,10319413,dissolved,ltd,search-results#company,{'company_profile': '/company/10319413'},2019-10-29,2016-08-09,['64191'],,9 Carr Wood Way,Pudsey,LS28 5UE,England,,Calverley,2019,2016
EMPLAD LTD.,10322946,dissolved,ltd,search-results#company,{'company_profile': '/company/10322946'},2021-10-26,2016-08-10,['64191'],,86 Beeston View,Chester,CH4 7EF,United Kingdom,Cheshire,Handbridge,2021,2016
ROSEMOUNT LTD,10335371,active,ltd,search-results#company,{'company_profile': '/company/10335371'},,2016-08-18,['64191'],,53 Rose Mount,Prenton,CH43 5SQ,England,,,,2016
SUN ATLANTIC LTD,10353653,active,ltd,search-results#company,{'company_profile': '/company/10353653'},,2016-08-31,['64191'],,36 Shawhurst Lane,Birmingham,B47 5HL,United Kingdom,Worcestershire,,,2016
LA RISK ASSOCIATES LIMITED,10516796,active,ltd,search-results#company,{'company_profile': '/company/10516796'},,2016-12-08,['64191'],,42 Birchwood Road,London,SW17 9BH,England,,,,2016
E CONSULTS LIMITED,10521880,dissolved,ltd,search-results#company,{'company_profile': '/company/10521880'},2018-02-13,2016-12-12,['64191'],,7 Bakehouse Court,Ascot,SL5 8RZ,England,,Long Hill Road,2018,2016
M&J CICERO LTD,10522752,dissolved,ltd,search-results#company,{'company_profile': '/company/10522752'},2019-01-08,2016-12-13,['64191'],,Flat1/32 Southend Crescent,London,SE9 2SB,England,,,2019,2016
DIGITAL IN FINANCE LIMITED,10522102,dissolved,ltd,search-results#company,{'company_profile': '/company/10522102'},2020-11-24,2016-12-13,"['62020', '64191']",,6 The Gardens,Pinner,HA5 5DW,United Kingdom,,,2020,2016
REIME OAA LTD,10524139,dissolved,ltd,search-results#company,{'company_profile': '/company/10524139'},2021-03-16,2016-12-14,['64191'],,4 Rutters Lane,Stockport,SK7 5AY,United Kingdom,,Hazel Grove,2021,2016
WALDO INK LTD,10524081,dissolved,ltd,search-results#company,{'company_profile': '/company/10524081'},2022-12-13,2016-12-14,['64191'],,"Telecom House, 125-135 Preston Road",Brighton,BN1 6AF,England,,,2022,2016
JC & HELLEN LIMITED,10531377,dissolved,ltd,search-results#company,{'company_profile': '/company/10531377'},2020-03-31,2016-12-19,['64191'],,76 Shelford Avenue Shelford Avenue,Manchester,M18 7DE,England,,,2020,2016
JT CONSULTANTS LIMITED,10534213,dissolved,ltd,search-results#company,{'company_profile': '/company/10534213'},2018-04-17,2016-12-21,['64191'],,35 Ampleforth Drive,Willenhall,WV13 2LG,United Kingdom,,,2018,2016
MB UK SERVICES LTD,10553246,active,ltd,search-results#company,{'company_profile': '/company/10553246'},,2017-01-09,"['64191', '64205']",,188 St. James Park Road,Northampton,NN5 5EU,England,,,,2017
